taxon,groups,weights,weight_basis,confidence,catch_tonnes,SPPR_1986,SPPR_1995_TE0.1,SPPR_1995_TEmean,Ulanowicz_globalTEmean,Ulanowicz_TE,EwE_TE_noEE,EwE_TE_EE,SPPR_2015,new_TE_noEEfix,new_TE_EEfix,new_GE,new_WithEgestion,sym_TE_asPP,sym_TE_asDC,sym_GE_asPP,sym_GE_asDC,sym_WithEgestion_asPP,sym_WithEgestion_asDC,MC_new_GE,MC_new_TE_EEfix
Marine fishes not identified,Côtier L pred | Côtier M pred | Côtier M inv | Côtier S pred | Côtier S inv | Dem L pred | Dem L inv | Dem M pred | Dem M inv | Dem S pred | Dem S inv,0.238858 | 0.000042 | 0.231629 | 0.050710 | 0.264346 | 0.046639 | 0.006217 | 0.011789 | 0.148909 | 0.000024 | 0.000838,catch_composition,low,54105501.982,163.765772,357.274322,209.626712,1161.381199,1872.088359,2944.680801,2569.838657,5569.719852,5569.719852,5569.719852,2133.113004,753.314588,5569.719852,-19300.864834,2133.113004,2134.882499,753.314588,-115006.949704,2350.887800,6003.292274
Ethmalosa fimbriata,Ethmalose,1.000000,single,high,16059854.407,163.765772,32.757151,24.291412,44.953839,85.311890,85.311890,81.046295,91.491097,91.491097,91.491097,73.367465,43.161455,91.491097,91.491097,73.367465,73.377987,43.161455,-338.705282,77.445951,95.672556
Sardinella,Côtier pel S inv,1.000000,single,medium,9023480.2,163.765772,63.371783,44.410268,180.282129,117.871263,118.151769,106.830226,182.678519,182.678519,182.678519,118.787049,55.817264,182.678519,182.678573,118.787049,118.805172,55.817264,-489.077361,128.847647,189.690717
Engraulis encrasicolus,Côtier pel S inv,1.000000,single,high,6169688.338,163.765772,63.371783,44.410268,180.282129,117.871263,118.151769,106.830226,182.678519,182.678519,182.678519,118.787049,55.817264,182.678519,182.678573,118.787049,118.805172,55.817264,-489.077361,128.847647,189.690717
Pseudotolithus,Bars,1.000000,single,medium,5842799.356,163.765772,765.126208,433.124819,1494.315020,1392.366618,1698.422161,1593.296173,2935.678026,2935.678026,2935.678026,1750.560310,663.608554,2935.678026,-12167.664034,1750.560310,1751.311377,663.608554,-129143.724965,1958.685751,3084.917054
Sardinella aurita,Côtier pel S inv,1.000000,single,high,4946271.858,163.765772,63.371783,44.410268,180.282129,117.871263,118.151769,106.830226,182.678519,182.678519,182.678519,118.787049,55.817264,182.678519,182.678573,118.787049,118.805172,55.817264,-489.077361,128.847647,189.690717
Cephalopoda,Céphalopodes,1.000000,single,high,4732809.636,163.765772,822.926928,462.946606,1388.475781,776.133746,776.133746,737.327059,1169.062418,1169.062418,1169.062418,633.532727,262.848004,1169.062418,1169.126090,633.532727,633.690429,262.848004,-2693.977387,696.074883,1245.601022
Brachydeuterus auritus,Côtier S inv,1.000000,single,high,3179416.57,163.765772,79.510256,54.647132,203.050192,228.226730,228.830344,223.019358,302.460327,302.460327,302.460327,244.226076,127.659422,302.460327,303.400726,244.226076,245.025938,127.659422,-1352.064159,266.013821,316.479608
Trachurus,Pel S inv,1.000000,single,medium,3069248.284,163.765772,157.970864,102.369618,312.790013,239.810236,250.631699,247.597025,317.630863,317.630863,317.630863,109.892321,46.754763,317.630863,317.632445,109.892321,109.904682,46.754763,-281.147296,116.066511,339.622882
Sardinella maderensis,Côtier pel S inv,1.000000,single,high,2712007.901,163.765772,63.371783,44.410268,180.282129,117.871263,118.151769,106.830226,182.678519,182.678519,182.678519,118.787049,55.817264,182.678519,182.678573,118.787049,118.805172,55.817264,-489.077361,128.847647,189.690717
Katsuwonus pelamis,Thons majeurs,1.000000,single,high,2349950.979,163.765772,2736.422785,1388.786767,6982.262246,8524.661732,8877.094804,4438.547402,13559.458980,13559.458980,13559.458980,3620.876362,1183.597755,13559.458980,-35797.700389,3620.876362,3622.234339,1183.597755,-69439.826941,4014.207129,14860.336328
Thunnus albacares,Thons majeurs,1.000000,single,high,2303135.349,163.765772,2736.422785,1388.786767,6982.262246,8524.661732,8877.094804,4438.547402,13559.458980,13559.458980,13559.458980,3620.876362,1183.597755,13559.458980,-35797.700389,3620.876362,3622.234339,1183.597755,-69439.826941,4014.207129,14860.336328
